update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
0,100,0,161,1.610000,0.000000,30.000000,-1,40.006211,40.006211,-1,0,0,61,0,0,0,4,0,0,15.892333,0.157667,0.157667,0.630000,0.936508,-1,-1,-1,-1,-1,0.097930
10,182,0,6070,33.351648,0.000000,30.000000,-1,40.013180,40.013180,-1,4,0,1206,0,0,0,321,0,32,9.342284,3.375665,3.375665,0.835165,0.925565,-1,-1,-1,-1,-1,0.101214
20,185,0,7845,42.405405,0.000000,30.000000,-1,40.016444,40.016444,-1,6,0,725,9,0,298,599,0,71,7.711218,5.050944,5.050944,0.924324,0.930589,-1,-1,-1,-1,-1,0.119111
30,169,0,7469,44.195266,0.000000,30.000000,-1,40.011514,40.011514,-1,6,0,526,10,0,221,335,0,79,7.548718,5.419724,5.419724,0.940828,0.941063,-1,-1,-1,-1,-1,0.122631
40,140,0,5891,42.078571,0.000000,30.000000,-1,40.011883,40.011883,-1,7,0,670,18,0,281,162,0,103,8.242833,5.697643,5.697643,0.964286,0.906154,-1,-1,-1,-1,-1,0.135405
50,126,0,5947,47.198413,0.000000,30.000000,-1,40.014629,40.014629,-1,2,0,524,8,0,190,296,0,30,7.167725,5.596825,5.596825,0.976190,0.969774,-1,-1,-1,-1,-1,0.118581
60,109,0,4924,45.174312,0.000000,30.000000,-1,40.009342,40.009342,-1,6,0,370,3,0,219,331,0,89,7.605988,5.965878,5.965878,0.990826,0.913049,-1,-1,-1,-1,-1,0.132063
70,106,0,4766,44.962264,0.000000,30.000000,-1,40.012589,40.012589,-1,5,0,482,5,0,213,219,0,46,8.855943,6.584308,6.584308,0.981132,0.936354,-1,-1,-1,-1,-1,0.146441
80,102,0,4656,45.647059,0.000000,30.000000,-1,40.008162,40.008162,-1,4,0,456,6,0,163,227,0,50,8.339641,6.366242,6.366242,1.000000,0.940574,-1,-1,-1,-1,-1,0.139467
90,95,0,4495,47.315789,0.000000,30.000000,-1,40.029811,40.029811,-1,2,0,281,4,0,161,150,0,25,8.591818,7.120463,7.120463,1.000000,0.961847,-1,-1,-1,-1,-1,0.150488
100,86,0,4021,46.755814,0.000000,30.000000,-1,40.020642,40.020642,-1,2,0,287,7,0,149,99,0,22,8.524574,6.863023,6.863023,1.000000,0.958511,-1,-1,-1,-1,-1,0.146784
110,98,0,4413,45.030612,0.000000,30.000000,-1,40.004985,40.004985,-1,7,0,348,5,0,170,297,0,87,7.636327,6.054150,6.054150,1.000000,0.912012,-1,-1,-1,-1,-1,0.134445
120,86,0,3938,45.790698,0.000000,30.000000,-1,39.992636,39.992636,-1,4,0,333,9,0,148,88,0,52,9.047829,7.076202,7.076202,1.000000,0.936873,-1,-1,-1,-1,-1,0.154534
130,88,0,4034,45.840909,0.000000,30.000000,-1,39.977690,39.977690,-1,5,0,313,4,0,152,207,0,69,7.650492,6.288902,6.288902,1.000000,0.927133,-1,-1,-1,-1,-1,0.137190
140,83,0,3776,45.493976,0.000000,30.000000,-1,39.971663,39.971663,-1,4,0,264,5,0,142,259,0,44,8.651566,6.770120,6.770120,1.000000,0.932556,-1,-1,-1,-1,-1,0.148814
150,77,0,3432,44.571429,0.000000,30.000000,-1,39.997960,39.997960,-1,5,0,241,7,0,124,92,0,62,8.173290,6.588615,6.588615,1.000000,0.915475,-1,-1,-1,-1,-1,0.147821
160,75,0,3443,45.906667,0.000000,30.000000,-1,40.025559,40.025559,-1,3,0,340,8,0,155,126,0,35,8.449556,6.217111,6.217111,1.000000,0.934162,-1,-1,-1,-1,-1,0.135429
170,72,0,3152,43.777778,0.000000,30.000000,-1,40.051396,40.051396,-1,7,0,252,7,0,107,90,0,85,8.479398,6.798380,6.798380,1.000000,0.877725,-1,-1,-1,-1,-1,0.155293
180,78,0,3530,45.256410,0.000000,30.000000,-1,40.005099,40.005099,-1,4,0,361,2,0,127,91,0,46,8.858098,6.633355,6.633355,1.000000,0.918063,-1,-1,-1,-1,-1,0.146573
190,84,0,3781,45.011905,0.000000,30.000000,-1,40.012431,40.012431,-1,5,0,330,6,0,161,138,0,55,7.980198,6.226151,6.226151,1.000000,0.915685,-1,-1,-1,-1,-1,0.138322
200,82,0,3871,47.207317,0.000000,30.000000,-1,40.025316,40.025316,-1,3,0,309,4,0,143,172,0,35,9.300122,7.285244,7.285244,1.000000,0.938314,-1,-1,-1,-1,-1,0.154324
210,86,0,4036,46.930233,0.000000,30.000000,-1,40.027502,40.027502,-1,3,0,319,4,0,166,98,0,33,7.940516,6.330802,6.330802,1.000000,0.937820,-1,-1,-1,-1,-1,0.134898
220,84,0,3729,44.392857,0.000000,30.000000,-1,40.069724,40.069724,-1,7,0,294,2,0,161,80,0,93,7.724444,6.223968,6.223968,1.000000,0.890000,-1,-1,-1,-1,-1,0.140202
230,72,0,3421,47.513889,0.000000,30.000000,-1,40.088863,40.088863,-1,0,0,399,5,0,122,21,0,0,8.543704,6.109074,6.109074,1.000000,0.965121,-1,-1,-1,-1,-1,0.128574
240,67,0,3080,45.970149,0.000000,30.000000,-1,40.100649,40.100649,-1,3,0,316,4,0,111,66,0,36,9.414975,7.052687,7.052687,1.000000,0.922769,-1,-1,-1,-1,-1,0.153419
250,67,0,3220,48.059701,0.000000,30.000000,-1,40.089752,40.089752,-1,1,0,325,2,0,115,98,0,13,8.643831,6.405920,6.405920,1.000000,0.951452,-1,-1,-1,-1,-1,0.133291
260,57,0,2573,45.140351,0.000000,30.000000,-1,40.137583,40.137583,-1,4,0,183,1,0,94,45,0,55,9.295789,7.546316,7.546316,1.000000,0.897689,-1,-1,-1,-1,-1,0.167175
270,64,0,2956,46.187500,0.000000,30.000000,-1,40.101827,40.101827,-1,3,0,192,3,0,104,15,0,42,9.089844,7.316406,7.316406,1.000000,0.921172,-1,-1,-1,-1,-1,0.158407
280,58,0,2682,46.241379,0.000000,30.000000,-1,40.133110,40.133110,-1,3,0,233,4,0,108,72,0,48,9.113333,7.208506,7.208506,1.000000,0.913657,-1,-1,-1,-1,-1,0.155889
290,63,0,2914,46.253968,0.000000,30.000000,-1,40.098147,40.098147,-1,1,0,302,3,0,117,0,0,12,9.524497,6.930529,6.930529,1.000000,0.945486,-1,-1,-1,-1,-1,0.149836
300,64,0,2752,43.000000,0.000000,30.000000,-1,40.089753,40.089753,-1,7,0,239,3,0,117,81,0,84,8.592292,6.616042,6.616042,1.000000,0.852659,-1,-1,-1,-1,-1,0.153861
