ID,genomeSize,genome,hostID,hostType,collectedResource,bitStringMatch
35319183,70,0001010111011111011010110100010001010011000101111100000010000100001000,35315961,0,0.120000,0.600000
35319201,69,010101011101111101001011010101000101001100011111110100001100010101100,35323639,0,0.120000,0.600000
35319420,70,0101010111011111011010010100010001010011000101111100000010000100001000,35321914,0,0.070000,0.700000
35319478,69,010101011100111101101011010001000101111100011111110000001100010000101,35324246,0,0.120000,0.600000
35319515,69,010101011101111100101011010001101101001100011011110100001100010000100,35325250,0,0.120000,0.600000
35319524,69,010101011100111111101011010001000101001100011111110100001100010000100,35325767,0,0.120000,0.600000
35319567,69,010101011101111101100011010001000101001100011111110100001100010001101,35318041,0,0.200000,1.000000
35319578,69,010101011100111101001011010001001101001100011111110100001100010000100,35318041,0,0.200000,1.000000
35319586,69,010101011101111100101011010001101101001100011011110100001100010000100,35318041,0,0.200000,1.000000
35319593,68,00101011101111101101011010001000101001100010101101000010000100001000,35321346,0,0.120000,0.600000
35319608,68,00101011101111101101011010001000101001100010101101000010000100001000,35321346,0,0.120000,0.600000
35319626,70,0010101011000111101101011010001000101001000011111110100001100010000100,35318556,0,0.200000,1.000000
35319635,69,010101011100111101101011000001000101001100011110110100011100010000101,35326828,0,0.100000,0.500000
35319676,70,0101110111001111001010110100010001010011000111111101000011000100001000,35323637,0,0.060000,0.600000
35319714,69,010101011100111101101011010001000101101100011111111000001100010000101,35319151,0,0.200000,1.000000
35319717,70,0101010111011111011010110100010001010011000101111101000010000100001000,35319152,0,0.100000,1.000000
35319719,69,010101011101111101101011010001000101001100011111110100001100010001100,35320873,0,0.100000,0.600000
35319720,69,000101011101111101101011010001000101001100011111110100001100010000100,35326830,0,0.120000,0.600000
35319766,70,0101010111011111001010110100011011010011000110111101000011000100001001,35320870,0,0.120000,0.600000
35319784,70,0101010111001110011010110100010001010011000111111101000011000100000001,35324246,0,0.100000,0.500000
35319814,70,0101010111011111011010110100010011010011000110111010000110001000010011,35317521,0,0.120000,0.600000
35319817,69,010101011100111101101011010001000101101100011111110000001100010000101,35320872,0,0.120000,0.600000
35319820,69,010101011101111101100011010001000101001100011111110100001100010001101,35320257,0,0.040000,0.600000
35319828,69,010101011101111100101011010001101111001100011011110100001100010000100,35320257,0,0.033333,0.500000
35319837,70,0101010111001111011010110100010001010011000111111101000010000100001000,35322845,0,0.060000,0.600000
35319866,70,1000101011101011001101011010001001101001100011011110100000110010000000,35317525,0,0.100000,0.500000
35319981,69,000101011101111101101011010001000101001100011111110100001100010000100,35324249,0,0.060000,0.600000
35319988,69,010101011101111100101011010001101101001100011010110100001100010000100,35324248,0,0.120000,0.600000
35320009,69,010101011100111101101011010001000101001100011110110100001100010000101,35321346,0,0.100000,0.500000
35320015,70,0000101011101111100001011010001001101001000011011110100001110010000100,35319726,0,0.070000,0.700000
35320025,70,0010101011100111101101011010001000101001100011111110100101100010001100,35326826,0,0.120000,0.600000
35320035,69,000101011101111101101011010001001111001100011011110100001110010001100,35329826,0,0.100000,0.500000
35320040,71,01010101110111110110101101100100010100110001011111010000000001000110000,35329359,0,0.060000,0.600000
35320050,69,010101011100111101101011010001000101001100011110110100001100000000101,35326828,0,0.120000,0.600000
35320054,70,0001010111011111011010110100010001010011000101111100000010000100001000,35326828,0,0.120000,0.600000
35320061,71,10101010111001111010010111100010001010001100111111101000011000000001000,35325253,0,0.120000,0.600000
35320063,70,0101010111011111011010110100010001010011000101111101000010000100001000,35324757,0,0.120000,0.600000
35320068,69,000101011101111101101011010001000101001100011111110100001100010000100,35318558,0,0.120000,0.600000
