ID,genomeSize,genome
46127498,30,101111100000110011100001110010
46128627,30,101111100000110011100001110010
46128630,30,001111100000111010010000110010
46129136,30,101111100000110011100001110010
46129137,30,011111100101110000111101111011
46129138,30,001111100000110010010000111010
46129696,30,000111100000110010010000110010
46130248,30,001111100000110010010000110010
46130249,30,011111100100110000111101111011
46130250,30,001111100000110010010000110010
46130251,30,111111100100110000111101111111
46130252,30,101111100000110010110001100010
46130253,30,001111100000110010010000111010
46130835,30,101111100000110010110001100010
46130836,30,101111100000110010110001100010
46130838,30,101111100000110011100001110010
46130839,30,011111100100110000111101111011
46130841,30,101111100000110010100001100010
46130842,30,001111100000110010010000111010
46131525,30,101111100000110011100001110010
46132082,30,101111100000110011100001110010
46132086,30,101111100000110010100001100010
46132087,30,001111100000110010010000110010
46132088,30,101111101010110011100001110010
46132599,30,101111100000110010100001100010
46132600,30,001111100000111010000000110010
46132601,30,101111100000110011100001110010
46132603,30,101111100000110011100001110010
46132604,30,011111100000111010010000110010
46133271,30,101111100000110011100001110010
46133272,30,101111100000110010100001100010
46133273,30,101111100000110010100001100010
46133274,30,111111100100110000111101111111
46133276,30,101111100000110011100001110010
46133953,30,101111100000110010110001100010
46133955,30,011111100101110000111101111011
46134514,30,011111100100110000111101111011
46134516,30,101111100000110011100001110010
46134517,30,111111100100110000111101111111
46134519,30,011111100100110000111101111011
46134520,30,001111100000111010010000110010
46134521,30,001111100000111010010000110010
46135143,30,011111100101110000111101111011
46135144,30,101111100000110010110001100010
46135145,30,111111100100110000111101111111
46135146,30,011111100101110000111101111011
46135654,30,001111100000111010010000111010
46135655,30,001111100000111010010000110010
46135656,30,101111100000110010100001100010
46135657,30,101111100000110010110001100010
46135658,30,011111100100110000111101111011
46136174,30,001111100000111010010000110010
46136175,30,101111100000110010110001100010
46136176,30,011111100100110000111101111011
46136177,30,011111100101110000111101111011
46136178,30,001111100000110010010000111010
46136617,30,011111100100110000111101111011
46136618,30,011111100100110000111101111011
46136619,30,101111100000110011100001110010
46136620,30,101111100000110011100001110010
46137133,30,011111100100110000111101111111
46137134,30,101111100000110010110001100010
46137135,30,101111100000110010110001100010
46137136,30,001111100000110010010000111010
46137137,30,001111100000110010010000110010
46137138,30,101111100000110010110001100010
46137670,30,100111100000110010100001100010
46137671,30,101111100000110010110001100010
46137672,30,100111100000110011100001110010
46137673,30,111111100100110000111101111111
46137674,30,101111100000110010110001100010
46137675,30,101111100000110011100001110010
46137676,30,011111100100110000111101111011
46137677,30,101111100000110011100001110010
46137678,30,001111100000110010010000110010
46138268,30,101111100000110010100001100010
46138269,30,001111100000111010010000110010
46138270,30,001111100000110010010000110010
46138271,30,101111100000100011100001110010
46138272,30,001111100000111010000000110010
46138818,30,101111100000110010100001100010
46138819,30,101111100000110011100001110010
46138820,30,000111100000110010010000110010
46138821,30,101111100000110011100001110010
46138822,30,101111100000100011100001110010
46139353,30,100111100000110010100001100010
46139354,30,101111100000110010100001100010
46139355,30,101111100000110010100001100010
46139356,30,101111100000110011100001110010
46139800,30,001111100000110010010000111010
46139801,30,011111100100110000111101111011
46139802,30,011111100100110000111101111011
46139803,30,101111100000110010110001100010
46139804,30,101111100000110010100001100010
46139805,30,101111100000110011100001110010
46139806,30,101111100000110011100001110010
46139807,30,101111100000110010110001100010
46139808,30,101111101010110011100001110010
46139809,30,101111100000110011100001110010
46139810,30,101111100000110010100001100010
46139811,30,011111100000111010010000110010
46140446,30,101111100000110011100001110010
46140447,30,011111100100110000111101111011
46140448,30,001111100000110010010000111010
46140449,30,001111100000111010010000110010
46140450,30,011111100000111010010000110010
46140451,30,101111100000110010110001100010
46141000,30,101111100000110010100001100010
46141001,30,011111100100110000111101111011
46141002,30,001111100000111010010000111010
46141003,30,011111100100110000111101111011
46141004,30,101111100000110010100001100010
46141005,30,011111100100110000111101111011
46141006,30,001111100000111010010000110010
46141007,30,001111100000111010010000110010
46141008,30,011111100101110000111101111011
46141009,30,101111100000110010110001100010
46141717,30,101111100000110010100001100010
46141718,30,101111100000110011100001110010
46141719,30,101111101010110011100001110010
46141720,30,101111100000110010100001100010
46141721,30,111111100100110000111101111111
46141722,30,101111100000110011100001110010
46141723,30,011111100101110000111101111011
46141724,30,011111100101110000111101111011
46141725,30,001111100000110010010000111010
46142371,30,001111100000111010000000110010
46142372,30,001111100000111010010000111010
46142373,30,001111100000111010010000110010
46142374,30,011111100100110000111101111011
46142375,30,011111100101110000111101111011
46142376,30,011111100100110000111101111011
46143034,30,011111100101110000111101111011
46143035,30,111111100100110000111101111111

