ID,genomeSize,genome
133022895,30,111010000000010101000000011101
133022902,30,000010000010010101100000011010
133026259,30,011010000000010101000000011011
133026265,30,111010000000010101000000011101
133026270,30,000010000010010101100000111010
133026277,30,011010000000010101000000011011
133026278,30,011010010100010101000000011011
133027964,30,111010000000010101000000011100
133027966,30,111010000000010101000000011100
133027969,30,000010000010000101100000011010
133029621,30,000010000010010101100000011010
133029625,30,000010001010010101100000011010
133029626,30,000010000010010101100000111010
133031243,30,011010000100010101000000011011
133031246,30,011010000000010101000000011011
133032924,30,000010000010010101100000111010
133032928,30,000010000010010101100000111010
133032929,30,111010000000010101000000011100
133032933,30,011010000100010101000000011011
133032934,30,000010000010010101100000011010
133032935,30,111010000000010101000000011001
133032936,30,000010000010000101100000011010
133032938,30,000010000010010101100000011010
133032939,30,111010000000010101000000011100
133034425,30,111010000000010101000000011100
133034426,30,011010000000010101001000011011
133034427,30,111010000000010101000000011100
133034429,30,111010000000010101000000011001
133034434,30,111010000000010101000000011001
133034436,30,111010000000010101000000011101
133034438,30,011010000000010101000000010011
133034441,30,111000000000010101000000011101
133034442,30,111010000000010101000000011100
133034444,30,111110000000010101000000011101
133036019,30,111010000000010101000000011100
133036020,30,000010000010000101100000011010
133036021,30,111010000000010101000000011101
133036023,30,111010000000010101000000011100
133036024,30,000010000010010101100000011010
133036025,30,011010000000010101000000010011
133036030,30,000010000010010101100000011010
133036031,30,111110000000000101000000011101
133036033,30,111010000000010101000000011100
133036034,30,111010000000010101000000011101
133036035,30,111010000000010101000000011101
133036036,30,011010000000010101000000011011
133037649,30,111010000000010101000000011101
133037651,30,011010000000010101000000011011
133037652,30,111010000001010100000000011111
133037657,30,111010000000010101000000011101
133037667,30,000010000010000101100000011010
133037668,30,000010000010010101100000011010
133037670,30,111010000001010101001000011111
133037671,30,111110000000010101000000011101
133037672,30,111010000000010101000000011001
133039575,30,011010000000010101000000011011
133039577,30,000010000010010101100000011010
133039578,30,111010000000010101000000011100
133039579,30,111010000000010101000000011101
133039581,30,111010000000010101000000001101
133039583,30,011010000100010101000000011011
133039585,30,011010000001010101000000011011
133041188,30,111010000000010101000000011101
133041189,30,111010000000010101000000011001
133041191,30,000010000010010101100000111010
133041192,30,000010000010010101100000011010
133041194,30,011010000001010101000000011011
133041195,30,111010000000010101000000011101
133041197,30,111010100001010101001000011111
133041198,30,011010000000010101000000011011
133041199,30,000010000010010101100000011010
133042804,30,111010000000010101000000011100
133042805,30,111010000000010101000000011101
133042807,30,111010000000010101000000011001
133042808,30,011010000001010101000000011011
133042810,30,010010000000010101000000011011
133042812,30,111010000000010101000100011001
133042813,30,111010000000010101000000011001
133042814,30,000010000010010101100000111010
133042815,30,111010000000010101000000011001
133042816,30,000010000010000101100000011010
133042817,30,000010000010010101100000011010
133042819,30,000010000010000101100000011010
133042822,30,111010000100010101000000011101
133044373,30,111010000000010101001000011101
133044374,30,000010000010010101100000111010
133044375,30,000010000010000101100000011010
133044376,30,000010000010000101100000011010
133044377,30,111010000000010101000000011001
133044378,30,000010000010010101100000011010
133044379,30,111010000000010101000000011100
133044380,30,011010000000010101001000011011
133044382,30,111010000000010101000000011101
133044383,30,000010000010010101100000011010
133044385,30,111010000000010101000000011101
133044386,30,111010000100010101000000011101
133044387,30,110010000000010101000000011100
133044389,30,111010000000010101000000011101
133044390,30,111010000000010101000000011101
133044391,30,111010000000010101000000011100
133044392,30,111010000000010101000000011100
133044393,30,111010000000010101000000011101
133044394,30,010010000000010101000000011011
133044395,30,011010000000010101000000010011
133044397,30,111010000000010101000000011100
133046074,30,111010000000010101000000011101
133046075,30,011010000000010101000000010011
133046076,30,011010000001010101000000011011
133046078,30,111010100001010101001000011111
133046080,30,111010000000010101000000011101
133046081,30,111010000100010101000000011101
133046082,30,011010000100010101000000011011
133046083,30,111010000000010101000000011101
133046084,30,111010000000010101000000011101
133046087,30,011010000100010101000000011011
133046090,30,111010000000010101000000011101
133046091,30,000010000010010101100000111010
133046092,30,011010000100010101000000011011
133046093,30,000010000010010101100000111010
133046094,30,111010000000010101000000011101
133047923,30,111010000000010101000000011101
133047925,30,011010000000010101000000011011
133047926,30,000010000010010101100000011010
133047927,30,111010000000010101000000011001
133047929,30,111010000000010101001000011101
133047930,30,111010000000010101000000011101
133047931,30,111010000000010101000100011001
133047932,30,000010000010010101100000111010
133047933,30,111010000000010101000000011100
133047934,30,000010000010000101100000011010
133047935,30,011010000000010101000000011011
133047936,30,011010000001010101000000011011
133047937,30,111010000000010101000000011100
133047938,30,000010000010010101100000011010
133047940,30,000010000010010101100000011010
133047941,30,111010000000010101000000011100
133049592,30,000010000010000101100000011010
133049595,30,011010000001010101000000011011
133049596,30,111010000000010101000000011101
133049597,30,111010000000010101000000011101
133049598,30,111110000000010101000000011101
133049599,30,111010000100010101000000011100
133049600,30,111010000000010101000000011100
133049601,30,111010000000010101000000011100
133049602,30,111010000000010101000000011101
133049603,30,111010000000010101000000011100
133049604,30,111010000000010101000000011001
133051106,30,011010000100010101000000011011
133051107,30,000010000010010101100000011010
133051108,30,000010000010010101100000011010
133051109,30,111010000000010101000000011101
133051110,30,111010000000010101000000011100
133051111,30,000010000010010101100000011010
133051112,30,111010000000010101000000011101
133051113,30,011010000000010101000000011011
133051114,30,000010000010000101100000011010
133051115,30,000010000010000101100000011010
133051116,30,011010000001010101000000011011
133051117,30,011010000100010101000000011011
133051118,30,111010000000010101000000011101
133051120,30,111010000001010101001000011111
133051121,30,000010000010010101100000011010
133051122,30,011010000000010101001000011011
133051123,30,111010000000010101000000011001
133051124,30,111010000000010101000000011100
133052756,30,111010000000010101000000011101
133052757,30,111010000000010101000000011100
133052758,30,111010000000010101000000011101
133052759,30,111010000000010101000000011101
133052760,30,111110000000010101000000011101
133052761,30,011010000100010101000000011011
133052762,30,111010000000010101000000011101
