ID,genomeSize,genome,hostID,hostType,collectedResource,bitStringMatch
149643413,89,01001010011100100111001000000000101100000000110011100111101100110010010101001011010100000,149672286,0,0.020000,0.500000
149643546,91,0100101000110010011100100000000010110000000011011111011100110111101001001000101101010001011,149644964,0,0.030000,0.600000
149643558,93,101001101000110010111100101010000010110000000011011011011100100011111010110001011010011001110,149668733,0,0.030000,0.600000
149643570,92,11011010100011001001110010001000001011000000001101100101110010001100110101101110110101000000,149659637,0,0.040000,0.600000
149643587,89,01001010001100100111001000000000101100000000110110110111001101110000010010001011010100000,149675604,0,0.015000,0.600000
149643592,95,00101000100000110010111100101010000010110000000011011011001100100011111010110101011010011001111,149658007,0,0.050000,0.500000
149643602,89,01001010001100100111001000000000101100000000110110110111001101110000010010001011010100000,149634078,0,0.030000,0.600000
149643618,96,111010100010110011001011110010101000001011000000001101101101110010001111101011000101101001100111,149652640,0,0.040000,0.600000
149643808,91,1001010100011001011110010001000001011000000001101101101110010001100110101100110110101000000,149661143,0,0.100000,0.500000
149643858,91,1011010100011000001110010001000000011000000001101101101110010001100110101100010110101100000,149672280,0,0.040000,0.600000
149643860,95,01000100010100011001011110010101100001011000000001101101101110010001111101011000101101001000101,149632467,0,0.030000,0.600000
149643870,95,01010100010100011010111100101010000101110000001110110110111001000111011010100001011010011001110,149665743,0,0.020000,0.400000
149643971,94,1010110010100011001011110010000000001011100000000101100001111010001110110100000011100100110001,149661135,0,0.020000,0.400000
149644034,92,10110101000110000101100100010000010110000000011010011001100100011001101011100111101010000001,149646343,0,0.024000,0.500000
149644084,95,10010100010100011001011110011101000001011000000001101101101110010001111101010000101101001100011,149670425,0,0.040000,0.600000
149644123,95,01111101010100011001011110010101000001011000000001101101101111010001111101001000100101001100111,149674018,0,0.040000,0.600000
149644140,89,01001010011100100111001000000000101100000000110011110111001100110010010011001011010100001,149667289,0,0.060000,0.600000
149644155,89,01001010001100100110001000000000101100000000110110110111001101010000010010001011010100000,149662692,0,0.050000,0.500000
149644174,95,01010100010100011001011110010101000001010000000001101101101110000001111101011000001101001000101,149664217,0,0.030000,0.600000
149644189,95,01010100010100011001011110010101000001010000100001101101101110000001111101011000001101001000101,149658006,0,0.060000,0.600000
149644223,94,1010100110100011001011110010101000001011000001001101101101110010001111101011000101101001100111,149647829,0,0.030000,0.600000
149644250,94,1010110010100001001001110010000000001011100000001101101001110010001110110100100010100110110001,149658001,0,0.050000,0.500000
149644273,96,100101000101000110010111100101010000010110100000011011011011100000011111010110001011000011001110,149652630,0,0.060000,0.600000
149644325,92,01011101010001100100111001000000100101100000000110110110111001100111011010110001011010000000,149656304,0,0.053333,0.800000
149644370,92,10110101000110010011100100010010010110000000011011011011100110011001101011000101111010000001,149670412,0,0.060000,0.600000
149644384,94,1010100000100011001011110010101000001011000000001101101101110010001111101011000101101001100111,149647828,0,0.046667,0.700000
149644386,93,010110101000110010011100100000000010110000000011011111011100110011001101011000101101000000010,149638658,0,0.050000,1.000000
149644413,95,10101000101000110010011100101010000011110000000011011011011100100011110010110010011010011100111,149643260,0,0.050000,0.500000
149644475,87,010110100010001001110010000000001011000000001101101101100110111000001001000101101010000,149662692,0,0.050000,0.500000
149644552,89,01001010011100100111001000000000101100000000110011110111001100110010010111001011010100001,149668732,0,0.016667,0.500000
149644570,93,001011011100001001101110010010000001011000000001101101101110011011010110101000010111100100001,149661138,0,0.026667,0.700000
149644593,90,010010100011001001110010000000001011000000001111101101110011011110000100100010110101000000,149643280,0,0.120000,0.600000
149644625,95,01010100010100011001011110010101110001011000000001101101101110010001111101011000101101001010101,149652626,0,0.033333,0.500000
149644635,91,0011101110001100100111001000000100101100100000110110110111001100111011010110001011010000000,149661146,0,0.040000,0.400000
149644726,88,1101010001100100111001000100000101100001000110111101110011000100110101100000110101100001,149667276,0,0.033333,0.500000
149644741,89,01001010001100100111001000000000101100000000110110110111001101110000010010001011010100000,149664211,0,0.040000,0.600000
149644778,92,01011010101111001001110010000000001011000000101101101101110011001000101011010100001100000011,149658009,0,0.020000,0.600000
149644802,95,10101000101000110010111100101010000010110000000011011011011100100011111010110001011010001001110,149664201,0,0.040000,0.600000
149644810,94,1010100010100011001001110011101000001011000000001101101101110010001111101011000101101001100111,149637127,0,0.033333,0.500000
149644819,94,1010100010100011001001110011101000001011000000001101101101110010001111101011000101101001100111,149664208,0,0.017143,0.600000
149644838,97,0110101000101000110010111100101010001010111000000011011011011100100011101101011000101101001100011,149665739,0,0.026667,0.400000
149644853,97,1110100000100000110010111110101010000010111000000011011011011100100011101101011000101100001100011,149654528,0,0.060000,0.600000
149644866,94,0100101010001100100111001000100100101100000000110110110111001000110011010110011111010100000001,149643274,0,0.200000,1.000000
149644871,89,01001010001110100111001001000000101100000000110110110111001101110000010010001011010100000,149668735,0,0.035000,0.700000
149644924,89,01001010001100100111001000000000101100000000110110110111001101110000010010001011010100000,149668736,0,0.120000,0.600000
149644956,96,010101000101000110010011100101010000010110000000011011011011100100011011110110000011010011000111,149672296,0,0.120000,0.600000
149644963,95,01111101010100011001011110010101000001011000000001101101101111010001111101001000100101001100111,149656290,0,0.040000,0.600000
149644984,95,01010100010100011001011110010101000001011000000001101101101110010001111101011000101001001000101,149643278,0,0.120000,0.600000
149645007,92,10110101000110010011100100010010010110000000011011011011100100011001100011001100101010000100,149668745,0,0.017143,0.600000
149645068,94,1010100010100011001011110011101000001011000000001101101101110010011111101011000101101101100111,149644967,0,0.028000,0.700000
149645091,95,01111100010100011001011110010101000001011000000001101101101111010001111101001000100101001100111,149659635,0,0.024000,0.600000
149645196,92,11011010100011001001110010001000001011000000001101100101110010001100110101101110110101000000,149643277,0,0.030000,0.600000
149645213,92,01011010101111001001110010000000001011000000101101101101110011001000101011010100001100000011,149665747,0,0.060000,0.600000
149645227,90,001001010011100100111001000000000101100000000110011110111001000110011010111001011010100001,149662677,0,0.060000,0.600000
149645245,89,01001010001100100111001010000000111100000000110110110111001101110000010110001011110100000,149675610,0,0.025000,0.400000
149645252,92,10110101000110010011100100010000010110000000011011011011100100011001101011001111001010000011,149640203,0,0.033333,0.500000
149645261,92,10110101000110010011100100010000010110000000011011011011100100011001101111001111001010000011,149643275,0,0.050000,0.500000
149645266,92,10010101000110010011100100010000010110000000011011011011100100011001101111001101101010000000,149656289,0,0.060000,0.600000
149645296,96,010101000101000110010011100101010000010110000000011011011011100100011011110110000011010011000111,149647802,0,0.011429,0.400000
149645297,94,1010100010100011001011110011101000001011000000001101101101110010001111101011000101101001100111,149658003,0,0.040000,0.600000
149645320,96,111010100010100011001011110010101000001011000000001101101101110010001110101011000101101001100111,149675609,0,0.040000,0.600000
149645322,95,01010100110100011001011111010101000001011100000001111101101110010001111101011000101101001000101,149647819,0,0.040000,0.600000
149645325,89,01001010001100100111001000000100111100000000110110110111001101110000010010001011110100000,149667283,0,0.046667,0.700000
149645349,90,010010100011001001110010000000001011000000001101101101110011011100000100100000110101000000,149643275,0,0.050000,0.500000
149645354,96,101010001010001100100111001010100000101100000000110110110111001000011110101100011110100110011111,149640200,0,0.040000,0.600000
149645361,91,1001010100011001001110010001000001011000000001101101101110010001000100101100110110101000000,149638661,0,0.050000,0.500000
149645362,91,1001010100011001001110010001000001011000000001101101101110010001000100101100110110101000000,149643280,0,0.120000,0.600000
149645368,90,010010100011001001110010000010001011000000001101101101110011011100000100100010111101000001,149643277,0,0.030000,0.600000
149645371,95,10101001111000110010111100101010000010110000000011011011011100100011111010110001111010011001110,149644969,0,0.025000,0.500000
149645372,94,1010100010100011001001110011101000001011000000001101101101110010001111101011000101101001100111,149670408,0,0.025000,0.400000
149645373,90,010010100011001001110010000010001011000000001101101101110011011100000100100010111101000001,149661134,0,0.040000,0.600000
149645398,94,1001011011110011001001110010000000001011000000001101101101110011011010110101100010111100000001,149668736,0,0.080000,0.400000
149645403,96,110101000101000110010111100101010000010110000000011011011011100000011111010110001011110011001110,149647829,0,0.030000,0.600000
149645478,96,010111000101000110010011100101010000010110000000011001011011100100011111010100000111010011010111,149650975,0,0.040000,0.600000
149645510,95,01010100010100011001011110010101100001111000000001101101101110010001111101011000101101001000101,149650966,0,0.050000,0.500000
149645550,89,01001010001100100111001000000000101100000000110110110111001101110000001010001011010100000,149661142,0,0.050000,0.500000
149645594,95,10101100101000110010111100100000000010111000000001011010011110100011101011010000111001001111011,149667275,0,0.016000,0.400000
149645599,94,1010100010100011001011110010101000001011000000001101101101110010011111101011000101101001100111,149646347,0,0.140000,0.700000
149645601,89,01001010001100100111001000000000111100000000110110110111001101110000010010001011010100000,149661134,0,0.040000,0.600000
149645615,95,11001111010100011011001110010100000001011100000001100101101110011001110110001100000110100110000,149641816,0,0.050000,0.500000
149645651,89,01001010001100100111001100000000101100000000110110110111001101110000000010001011010100000,149674018,0,0.040000,0.600000
149645676,96,111010100010100011001011110010101000001011000000001101101101110010001111101011000101101001100111,149661144,0,0.060000,0.600000
149645678,94,0101000101000110010011100101010000010110000000011011011011100100001111010100011110100110001111,149654531,0,0.020000,0.400000
149645680,95,10101000101000110011111100101010000010110000000011011011011100100011111010110001011010011001110,149654531,0,0.020000,0.400000
149645685,89,01001010001100100111001000000000101100000000110110110111001101110000000010001011010100000,149641813,0,0.040000,0.600000
149645686,89,01001010001100100111001000000000111100000000110110110111001101110000010010001011110100000,149644972,0,0.033333,0.500000
149645698,95,10101000101000110010011100101010000010110000000011011010111100100011110010110010011010111100111,149670409,0,0.040000,0.600000
149645709,94,1010100010100011001011110010101000001011000100000101101101110010001111101011001101101001100111,149667287,0,0.060000,0.600000
149645725,97,1101011001010001100101111001010100000101100000000110110110111000000111110101100010110100110011101,149675602,0,0.024000,0.600000
149645728,92,10101101010001100100111001000000000101100100000110110110111001100110011010010101011010000000,149675606,0,0.025000,0.500000
149645731,94,1010100010100011001001110011101000001011000000001101101101110010001111101011000101101001100111,149670415,0,0.040000,0.400000
149645736,89,10110101000100100111001000110000101100000010110110110111001000110011010111011011010100000,149659639,0,0.040000,0.400000
149645746,95,10101000101000110010011100101010000010110000000011011010111100100011110010110010011010111100111,149661143,0,0.080000,0.400000
149645761,95,10101000101000110011111100101010000010110000000011011011011100100011111010110001011010011001110,149652641,0,0.070000,0.700000
149645785,96,010101000101000110010011100101010000010110000000011011010011100100010111010110000011010011100111,149647803,0,0.040000,0.600000
149645786,90,010010100011001001110010000000001011000000001101101101110011011100000000100010110101000000,149652640,0,0.040000,0.600000
149645802,92,10111101000110000011100100010000000110000000011011011011100100011001101001000101101011000000,149674019,0,0.033333,0.500000
149645834,94,1111100010100011001011110010101000001001000000001101101101111010001111101001000100101001100111,149640192,0,0.066667,1.000000
149645837,95,11100111010100011001001110010100000001011100000001100101101110011011110110001100000110100010000,149658004,0,0.040000,0.600000
149645853,91,0011101010001100100111001001000100101100000000110110110111001100111011010110001011000000000,149659633,0,0.040000,0.600000
149645865,96,110101000101000110010111100101010000010111000000001011011011100100011101101011000101101001100011,149670419,0,0.040000,0.600000
149645870,94,1010100010100011001011110010101000001011000000001101101101110010001111101011000101101001101111,149662692,0,0.060000,0.600000
149645871,93,010100010100011001011110010101000001011000000001101101101110010001111101011000101101011001111,149640201,0,0.100000,1.000000
149645886,92,10110101000110010011100100010000010110000000011011011011100100011001101111001111001010000011,149637127,0,0.040000,0.600000
149645905,91,1101011010100010001001110010001000001011000000001100101001010011011001101011000101101100000,149661142,0,0.060000,0.600000
149645909,96,010101000101000110010011100101010000010110000000011011011011100100011011110110000011010011000111,149658012,0,0.030000,0.600000
149645953,89,01011010001100100111001000000000101100000000110110110111001101110000000010001011010100000,149662681,0,0.060000,0.600000
149645959,89,01011010001000100111101000000000101100000000110110010111001101110000010010001011010100000,149667269,0,0.020000,0.500000
149645968,96,110101000101000110010111100101010000010110000000011011011011100100011111010110001011010011001110,149658006,0,0.060000,0.600000
149645969,89,01001010000100100111001000000000101100000010110110110111001101110000010010101010010100000,149652618,0,0.050000,0.500000
149645971,96,010101000101000110010011100101010000010110000000011011010011100100011111010110010011010011100111,149672287,0,0.050000,0.500000
149645974,94,1010110010100011001011110010000000001011100000000101100001111010001110110100000011100100110001,149672285,0,0.060000,0.600000
149645986,94,1111100010100011001011110010101000001011000000000101101101110010001111101001000101001001110111,149637131,0,0.020000,0.500000
149645991,92,01111101010001100100111001000000100101100000000110111110111001100111011010110001010010000000,149658007,0,0.050000,0.500000
149645993,92,10101101010001100100111001000000000101100000000110110110111001100110011010010001011010001000,149654530,0,0.060000,0.600000
149645994,91,1011010100011001001110010001000001011000000001101101101110000001000100101100110110101000000,149667280,0,0.070000,0.700000
149645996,94,1010100010000011001011110010101000001011000000001101101101110010001111101011000101101001100111,149672283,0,0.060000,0.600000
149646009,92,10110101000110010011100100010000010110000000001011011001100100011011100011001101101010000001,149641819,0,0.020000,0.500000
149646013,90,110010101010001001110001000000001011000000001111110101110011000100110101100010110001000000,149652610,0,0.100000,0.500000
149646015,93,010110100000110010011100100000000010110000000011011111011100110011001101011000101101000000010,149677353,0,0.100000,0.500000
149646017,97,0101010001010001100100111001010100000101100000000110110100111001000111100101100000110100111001110,149659640,0,0.020000,0.500000
149646033,95,11010100010100011001011110010101000001011000000001101101101110010001111101011000101101001100111,149654540,0,0.070000,0.700000
149646041,94,1010100010100011001011110011101000001011000000001101101101110010001111101011000101101001100111,149672282,0,0.070000,0.700000
149646049,96,100101000101000110010111100101010000010110100000011011011011100000011111010110001011000011001110,149641822,0,0.200000,1.000000
149646058,93,101001101000110010111100101010000010110000000011011011011100100011111010110001011010011001110,149641823,0,0.200000,1.000000
149646092,89,00101010001101100111001000100001011000000001101101101110010001100110101100110110101000000,149662694,0,0.033333,0.500000
149646096,91,1011010100011001001110010001000001011000000001101101101110010001100110101100110110101000101,149656300,0,0.033333,0.500000
149646110,95,11010100010100011001011110010101000001111000000001101101101110010001111101011100101101001100111,149650963,0,0.120000,0.600000
149646119,91,1011010000011001001110010001000001011000000001101101101110010001100110101110110111101000000,149675617,0,0.033333,0.500000
149646130,92,10110101000110010011100100010000010110000000011011011011100100011001101011001111001010000010,149668745,0,0.014286,0.500000
149646140,92,10010101000110010011100100010000010110000000011011011011100100011001101011001101101010001001,149668749,0,0.050000,0.500000
149646144,96,110100000100000110010111110101010000010111100000011011011011100100011101101011000101101001100011,149656297,0,0.020000,0.500000
149646153,97,1101011001010001100101111001010100000101100000000110110110111000000111110101100010110100110011101,149677354,0,0.060000,0.600000
149646164,97,0110101000101000110010111100101010000010111000000011011011011100100010101101011000101101001100011,149649532,0,0.025000,0.500000
149646182,95,01111101010100011001011110010101000001011000000001101101101111010001111101001000100101001100111,149643260,0,0.050000,0.500000
149646185,95,01111100010100011001011110010101000001011000000001101101101111010001111101001000100101001100111,149643260,0,0.050000,0.500000
149646212,96,111010100010100011001011110010101000001011000000001101101101110010001110101011000101101001100111,149650964,0,0.020000,0.500000
149646218,86,11010100011001001110010001000001011000000001101111011100110001001101011000001010110000,149668737,0,0.080000,0.400000
149646227,94,1010100010100011001011110010010000010110000000011011011001100100011111010110001011010001001110,149661146,0,0.050000,0.500000
149646235,91,1001010100011001001100010001000011011000000001101101101110010001100110101100110110101000000,149643266,0,0.060000,0.600000
149646259,95,10101001111000110010111100101010000010110000000011011011011100100011111010110001111010011001110,149650975,0,0.046667,0.700000
149646265,98,10110101000101000110010111100101010000010111000000001011011011100100011101101011000101101001100011,149644969,0,0.050000,1.000000
149646300,89,01001010001100100111001000100000101100000000110110110111001000100010010110011110101000000,149664213,0,0.040000,0.600000
149646320,93,010110101000110010011100100000000010110000000011011111011100110011001101011000101101000000010,149643277,0,0.030000,0.600000
149646326,92,00010010100001001001110000000000011011001000001101101101100011000100110101100010110101000000,149650958,0,0.026667,0.400000
149646363,95,01010100010100011001011110010101000001011000000001101101101110010001111101011000101101001000101,149668745,0,0.017143,0.600000
149646405,95,01101010001010001100101111001010100010101110000000110110110111001000111011010110001011010011001,149654527,0,0.024000,0.600000
149646419,91,1001010100011001011110010001000001011000000001101101101110010001100111101100110110101000000,149674025,0,0.030000,0.600000
149646551,94,1111100010100011001011110010101000001011000000001101101101111010001111101001000100101001100111,149665738,0,0.033333,0.500000
149646581,89,01001010000100100111001000000010101100000000110110110111001101110000010010001011010100000,149667278,0,0.060000,0.600000
149646598,94,1010110010100011001011110010000000001011100000100101100001111010001110110100000011100100110001,149677358,0,0.100000,0.500000
149646602,89,01001010010100100111001000000000101100000000110011100111101100110010010101001011010100000,149652617,0,0.030000,0.600000
149646617,93,101001101000110010111100101010000010110000000011011011011100100011111010110001011010011001110,149652630,0,0.070000,0.700000
