ID,genomeSize,genome,hostID,hostType,collectedResource,bitStringMatch
0,40,0000000000000000000000000000000000000000,182,0,0.100000,1.000000
1,40,0000000000000000000000000000000000000000,172,0,0.200000,1.000000
2,40,0000000000000000000000000000000000000000,196,0,0.200000,1.000000
3,40,0000000000000000000000000000000000000000,128,0,0.200000,1.000000
4,40,0000000000000000000000000000000000000000,144,0,0.200000,1.000000
5,40,0000000000000000000000000000000000000000,165,0,0.200000,1.000000
6,40,0000000000000000000000000000000000000000,171,0,0.200000,1.000000
7,40,0000000000000000000000000000000000000000,136,0,0.100000,1.000000
8,40,0000000000000000000000000000000000000000,144,0,0.200000,1.000000
9,40,0000000000000000000000000000000000000000,164,0,0.100000,1.000000
10,40,0000000000000000000000000000000000000000,109,0,0.200000,1.000000
11,40,0000000000000000000000000000000000000000,108,0,0.200000,1.000000
12,40,0000000000000000000000000000000000000000,113,0,0.100000,1.000000
13,40,0000000000000000000000000000000000000000,177,0,0.200000,1.000000
14,40,0000000000000000000000000000000000000000,176,0,0.200000,1.000000
15,40,0000000000000000000000000000000000000000,147,0,0.200000,1.000000
16,40,0000000000000000000000000000000000000000,149,0,0.100000,1.000000
17,40,0000000000000000000000000000000000000000,142,0,0.100000,1.000000
18,40,0000000000000000000000000000000000000000,105,0,0.200000,1.000000
19,40,0000000000000000000000000000000000000000,114,0,0.200000,1.000000
20,40,0000000000000000000000000000000000000000,103,0,0.100000,1.000000
21,40,0000000000000000000000000000000000000000,102,0,0.200000,1.000000
22,40,0000000000000000000000000000000000000000,192,0,0.200000,1.000000
23,40,0000000000000000000000000000000000000000,193,0,0.200000,1.000000
24,40,0000000000000000000000000000000000000000,117,0,0.100000,1.000000
25,40,0000000000000000000000000000000000000000,164,0,0.100000,1.000000
26,40,0000000000000000000000000000000000000000,200,0,0.200000,1.000000
27,40,0000000000000000000000000000000000000000,175,0,0.200000,1.000000
28,40,0000000000000000000000000000000000000000,142,0,0.100000,1.000000
29,40,0000000000000000000000000000000000000000,119,0,0.200000,1.000000
30,40,0000000000000000000000000000000000000000,183,0,0.200000,1.000000
31,40,0000000000000000000000000000000000000000,128,0,0.200000,1.000000
