ID,alive,timeOfBirth,snapshotAncestors_LIST,update
102,1,-1,"101",0
103,1,-1,"101",0
104,1,-1,"101",0
105,1,-1,"101",0
106,1,-1,"101",0
107,1,-1,"101",0
108,1,-1,"101",0
109,1,-1,"101",0
110,1,-1,"101",0
111,1,-1,"101",0
112,1,-1,"101",0
113,1,-1,"101",0
114,1,-1,"101",0
115,1,-1,"101",0
116,1,-1,"101",0
117,1,-1,"101",0
118,1,-1,"101",0
119,1,-1,"101",0
120,1,-1,"101",0
121,1,-1,"101",0
122,1,-1,"101",0
123,1,-1,"101",0
124,1,-1,"101",0
125,1,-1,"101",0
126,1,-1,"101",0
127,1,-1,"101",0
128,1,-1,"101",0
129,1,-1,"101",0
130,1,-1,"101",0
131,1,-1,"101",0
132,1,-1,"101",0
133,1,-1,"101",0
134,1,-1,"101",0
135,1,-1,"101",0
136,1,-1,"101",0
137,1,-1,"101",0
138,1,-1,"101",0
139,1,-1,"101",0
140,1,-1,"101",0
141,1,-1,"101",0
142,1,-1,"101",0
143,1,-1,"101",0
144,1,-1,"101",0
145,1,-1,"101",0
146,1,-1,"101",0
147,1,-1,"101",0
148,1,-1,"101",0
149,1,-1,"101",0
150,1,-1,"101",0
151,1,-1,"101",0
152,1,-1,"101",0
153,1,-1,"101",0
154,1,-1,"101",0
155,1,-1,"101",0
156,1,-1,"101",0
157,1,-1,"101",0
158,1,-1,"101",0
159,1,-1,"101",0
160,1,-1,"101",0
161,1,-1,"101",0
162,1,-1,"101",0
163,1,-1,"101",0
164,1,-1,"101",0
165,1,-1,"101",0
166,1,-1,"101",0
167,1,-1,"101",0
168,1,-1,"101",0
169,1,-1,"101",0
170,1,-1,"101",0
171,1,-1,"101",0
172,1,-1,"101",0
173,1,-1,"101",0
174,1,-1,"101",0
175,1,-1,"101",0
176,1,-1,"101",0
177,1,-1,"101",0
178,1,-1,"101",0
179,1,-1,"101",0
180,1,-1,"101",0
181,1,-1,"101",0
182,1,-1,"101",0
183,1,-1,"101",0
184,1,-1,"101",0
185,1,-1,"101",0
186,1,-1,"101",0
187,1,-1,"101",0
188,1,-1,"101",0
189,1,-1,"101",0
190,1,-1,"101",0
191,1,-1,"101",0
192,1,-1,"101",0
193,1,-1,"101",0
194,1,-1,"101",0
195,1,-1,"101",0
196,1,-1,"101",0
197,1,-1,"101",0
198,1,-1,"101",0
199,1,-1,"101",0
200,1,-1,"101",0
201,1,-1,"101",0
