ID,alive,timeOfBirth,snapshotAncestors_LIST,update
204,1,-1,"203",0
205,1,-1,"203",0
206,1,-1,"203",0
207,1,-1,"203",0
208,1,-1,"203",0
209,1,-1,"203",0
210,1,-1,"203",0
211,1,-1,"203",0
212,1,-1,"203",0
213,1,-1,"203",0
214,1,-1,"203",0
215,1,-1,"203",0
216,1,-1,"203",0
217,1,-1,"203",0
218,1,-1,"203",0
219,1,-1,"203",0
220,1,-1,"203",0
221,1,-1,"203",0
222,1,-1,"203",0
223,1,-1,"203",0
224,1,-1,"203",0
225,1,-1,"203",0
226,1,-1,"203",0
227,1,-1,"203",0
228,1,-1,"203",0
229,1,-1,"203",0
230,1,-1,"203",0
231,1,-1,"203",0
232,1,-1,"203",0
233,1,-1,"203",0
234,1,-1,"203",0
235,1,-1,"203",0
236,1,-1,"203",0
237,1,-1,"203",0
238,1,-1,"203",0
239,1,-1,"203",0
240,1,-1,"203",0
241,1,-1,"203",0
242,1,-1,"203",0
243,1,-1,"203",0
244,1,-1,"203",0
245,1,-1,"203",0
246,1,-1,"203",0
247,1,-1,"203",0
248,1,-1,"203",0
249,1,-1,"203",0
250,1,-1,"203",0
251,1,-1,"203",0
252,1,-1,"203",0
253,1,-1,"203",0
254,1,-1,"203",0
255,1,-1,"203",0
256,1,-1,"203",0
257,1,-1,"203",0
258,1,-1,"203",0
259,1,-1,"203",0
260,1,-1,"203",0
261,1,-1,"203",0
262,1,-1,"203",0
263,1,-1,"203",0
264,1,-1,"203",0
265,1,-1,"203",0
266,1,-1,"203",0
267,1,-1,"203",0
268,1,-1,"203",0
269,1,-1,"203",0
270,1,-1,"203",0
271,1,-1,"203",0
272,1,-1,"203",0
273,1,-1,"203",0
274,1,-1,"203",0
275,1,-1,"203",0
276,1,-1,"203",0
277,1,-1,"203",0
278,1,-1,"203",0
279,1,-1,"203",0
280,1,-1,"203",0
281,1,-1,"203",0
282,1,-1,"203",0
283,1,-1,"203",0
284,1,-1,"203",0
285,1,-1,"203",0
286,1,-1,"203",0
287,1,-1,"203",0
288,1,-1,"203",0
289,1,-1,"203",0
290,1,-1,"203",0
291,1,-1,"203",0
292,1,-1,"203",0
293,1,-1,"203",0
294,1,-1,"203",0
295,1,-1,"203",0
296,1,-1,"203",0
297,1,-1,"203",0
298,1,-1,"203",0
299,1,-1,"203",0
300,1,-1,"203",0
301,1,-1,"203",0
302,1,-1,"203",0
303,1,-1,"203",0
